Master Protein Accessions,FC,Protein
PL_Q14684,11.89255521,RRP1B
PL_P29401,8.418697808,TKT
PL_P07477,7.145654477,PRSS1
PL_P62805,6.978132925,H4-16
PL_P84243,6.858588883,H3-3A
PL_Q9UKY4,4.411905415,POMT2
PL_Q9H560,4.001372509,ANKRD19P
PL_P48553,3.335859226,TRAPPC10
PL_Q99453,2.729314221,PHOX2B
PL_Q9BXW7,2.422166971,HDHD5
PL_P31946-2,2.377418567,PL_P31946-2
PL_Q96KD3,2.210193187,GARIN1B
PL_P51991,2.166903708,HNRNPA3
PL_Q5VYM1,2.133564795,C9orf131
PL_P22626,1.794550742,HNRNPA2B1
PL_P54252,1.5526198,ATXN3
PL_P63104,1.551073359,YWHAZ
PL_P36897,1.15989402,TGFBR1
PL_P60709,1.138461844,ACTB
PL_Q16778,1.054968108,H2BC21
PL_A2A288,1.021356513,ZC3H12D
PL_O75369,0.980947825,FLNB
PL_Q3ZCX4,0.879603371,ZNF568
PL_P60660,0.650384467,MYL6
PL_Q8IWZ3,0.511282965,ANKHD1
PL_Q9H4A3-4,0.011618871,PL_Q9H4A3-4
PL_Q96KR1,0.004269498,ZFR