Channel,ProteinNorm,TreatmentGroup
127N,13.34378133,Treatment
127N,14.51485546,Treatment
127N,10.7367156,Treatment
127N,12.14651731,Treatment
127N,19.78358931,Treatment
127N,11.35873355,Treatment
127N,9.477261809,Treatment
127N,17.96886189,Treatment
127N,15.07577897,Treatment
127N,10.92681996,Treatment
127N,11.4846741,Treatment
127N,14.42385677,Treatment
128N,12.98171846,Treatment
128N,13.06638542,Treatment
128N,10.12569318,Treatment
128N,11.59379681,Treatment
128N,18.91591197,Treatment
128N,11.4835311,Treatment
128N,8.976650825,Treatment
128N,16.68432832,Treatment
128N,14.14838904,Treatment
128N,10.3848408,Treatment
128N,10.71681508,Treatment
128N,12.18346764,Treatment
128C,11.4761987,Treatment
128C,12.64219001,Treatment
128C,9.439890465,Treatment
128C,10.51111912,Treatment
128C,16.63628728,Treatment
128C,10.84451797,Treatment
128C,8.470474493,Treatment
128C,15.66848031,Treatment
128C,13.10441514,Treatment
128C,9.712259681,Treatment
128C,10.04083909,Treatment
128C,12.80518165,Treatment
129N,9.104568597,Control
129N,11.96833007,Control
129N,6.509253005,Control
129N,12.33150465,Control
129N,11.38568367,Control
129N,11.14679506,Control
129N,8.264366123,Control
129N,13.74061685,Control
129N,10.96069882,Control
129N,5.806410276,Control
129N,10.5502081,Control
129N,10.54648688,Control
129C,8.231113082,Control
129C,11.45509365,Control
129C,6.570974865,Control
129C,10.14031831,Control
129C,10.98118428,Control
129C,11.47192978,Control
129C,7.739581969,Control
129C,13.7976058,Control
129C,10.75678528,Control
129C,5.739543264,Control
129C,9.528233698,Control
129C,9.997648323,Control
130N,8.666867249,Control
130N,12.45310278,Control
130N,6.872177726,Control
130N,10.67886112,Control
130N,11.29359579,Control
130N,12.14827692,Control
130N,8.096148067,Control
130N,13.96973682,Control
130N,11.64100918,Control
130N,5.98552899,Control
130N,10.48548767,Control
130N,10.61867207,Control
130C,8.84325711,Control
130C,11.37039995,Control
130C,6.467653895,Control
130C,10.26248103,Control
130C,11.17052104,Control
130C,11.64326593,Control
130C,8.623893893,Control
130C,13.29843081,Control
130C,10.81866399,Control
130C,5.965625126,Control
130C,9.656554887,Control
130C,9.957461347,Control